date,eth_price,eth_amount,lido_amount
2020-11-04 00:00,387.69,11621,0
2020-11-05 00:00,402.02,20864,0
2020-11-06 00:00,416.45,7616,0
2020-11-07 00:00,455.67,3776,0
2020-11-08 00:00,435.91,4064,0
2020-11-09 00:00,454.77,1628,0
2020-11-10 00:00,444.59,3328,0
2020-11-11 00:00,451.12,4832,0
2020-11-12 00:00,464.43,2112,0
2020-11-13 00:00,462.88,3615,0
2020-11-14 00:00,476.99,17184,0
2020-11-15 00:00,461.67,12128,0
2020-11-16 00:00,450.04,5440,0
2020-11-17 00:00,461.5,2208,0
2020-11-18 00:00,482.33,3872,0
2020-11-19 00:00,478.93,2848,0
2020-11-20 00:00,471.85,41056,0
2020-11-21 00:00,510.25,88000,0
2020-11-22 00:00,550.96,46688,0
2020-11-23 00:00,559.89,177248,0
2020-11-24 00:00,608.52,244096,0
2020-11-25 00:00,604.84,35072,0
2020-11-26 00:00,572.93,36128,0
2020-11-27 00:00,519.87,26080,0
2020-11-28 00:00,518.58,21888,0
2020-11-29 00:00,538.65,16064,0
2020-11-30 00:00,575.73,26240,0
2020-12-01 00:00,615.76,39905,0
2020-12-02 00:00,587.32,73249,0
2020-12-03 00:00,598.87,14944,0
2020-12-04 00:00,616.71,76736,0
2020-12-05 00:00,568.9,40523,0
2020-12-06 00:00,597.52,33155,0
2020-12-07 00:00,602.26,45393,0
2020-12-08 00:00,591.96,81568,0
2020-12-09 00:00,555.63,42400,0
2020-12-10 00:00,574.04,59904,0
2020-12-11 00:00,559.31,37952,0
2020-12-12 00:00,546.15,24832,0
2020-12-13 00:00,568.5,25600,0
2020-12-14 00:00,590.22,20544,0
2020-12-15 00:00,586.54,20288,0
2020-12-16 00:00,589.49,17857,0
2020-12-17 00:00,636.83,20131,0
2020-12-18 00:00,643.34,18140,0
2020-12-19 00:00,654.95,67712,0
2020-12-20 00:00,659.33,65440,4064
2020-12-21 00:00,638.92,96513,0
2020-12-22 00:00,608.57,132288,1600
2020-12-23 00:00,636.69,83008,1952
2020-12-24 00:00,585.24,10976,512
2020-12-25 00:00,611.8,11072,3552
2020-12-26 00:00,625.23,11552,256
2020-12-27 00:00,635.85,42016,3456
2020-12-28 00:00,683.44,32384,0
2020-12-29 00:00,729.84,13568,448
2020-12-30 00:00,732.25,24544,768
2020-12-31 00:00,751.96,20864,0
2021-01-01 00:00,737.88,13184,256
2021-01-02 00:00,730.5,12768,256
2021-01-03 00:00,774.62,8320,0
2021-01-04 00:00,979.81,36640,0
2021-01-05 00:00,1044.58,20192,544
2021-01-06 00:00,1103.12,24928,608
2021-01-07 00:00,1208.43,19168,608
2021-01-08 00:00,1227.57,27008,1376
2021-01-09 00:00,1222.11,15712,1280
2021-01-10 00:00,1282.86,12032,864
2021-01-11 00:00,1262.17,45504,3648
2021-01-12 00:00,1091.41,26624,1888
2021-01-13 00:00,1051.56,27136,19040
2021-01-14 00:00,1129.76,44640,15936
2021-01-15 00:00,1227.27,12384,3904
2021-01-16 00:00,1171.15,17216,768
2021-01-17 00:00,1229.43,6560,0
2021-01-18 00:00,1230.86,52928,3744
2021-01-19 00:00,1256.14,112256,2656
2021-01-20 00:00,1372.4,72192,2496
2021-01-21 00:00,1377.21,3648,448
2021-01-22 00:00,1120.31,11520,0
2021-01-23 00:00,1236.44,18624,11808
2021-01-24 00:00,1232.5,13376,1376
2021-01-25 00:00,1385.39,7168,1024
2021-01-26 00:00,1319.78,8192,4192
2021-01-27 00:00,1361.36,6496,1824
2021-01-28 00:00,1248.97,11456,3008
2021-01-29 00:00,1326.96,14912,0
2021-01-30 00:00,1378.17,5888,256
2021-01-31 00:00,1372.65,11168,4928
2021-02-01 00:00,1310.4,7680,2848
2021-02-02 00:00,1367.28,13600,8320
2021-02-03 00:00,1508.21,22368,8736
2021-02-04 00:00,1656.6,5600,1248
2021-02-05 00:00,1592.39,7648,1984
2021-02-06 00:00,1712.37,11392,2976
2021-02-07 00:00,1673.84,15840,4256
